text_01.dat                                                                     
poles     1  1  1
       phi     theta      int
    75.000    85.294     1.893
    85.000    85.294     2.109
    95.000    85.294     2.373
   105.000    85.294     2.509
   115.000    85.294     2.064
   125.000    85.294     1.155
   135.000    85.294     0.516
   145.000    85.294     0.385
   155.000    85.294     0.472
   165.000    85.294     0.745
   175.000    85.294     1.035
   185.000    85.294     1.158
  -185.000    94.706     1.433
  -175.000    94.706     1.259
  -165.000    94.706     0.878
  -155.000    94.706     0.519
  -145.000    94.706     0.498
  -135.000    94.706     0.598
  -125.000    94.706     1.082
  -115.000    94.706     1.918
  -105.000    94.706     1.893
   -95.000    94.706     2.109
   -85.000    94.706     2.373
   -75.000    94.706     2.509
   -65.000    94.706     2.064
   -55.000    94.706     1.155
   -45.000    94.706     0.516
   -35.000    94.706     0.385
   -25.000    94.706     0.472
   -15.000    94.706     0.745
    -5.000    94.706     1.035
     5.000    94.706     1.158
    15.000    94.706     0.869
    25.000    94.706     0.500
    35.000    94.706     0.434
    45.000    94.706     0.570
    55.000    94.706     1.010
    65.000    94.706     1.542
    75.000    94.706     1.961
    85.000    94.706     2.038
    95.000    94.706     2.014
   105.000    94.706     2.272
   115.000    94.706     1.945
   125.000    94.706     1.172
   135.000    94.706     0.542
   145.000    94.706     0.370
   155.000    94.706     0.420
   165.000    94.706     0.876
   175.000    94.706     1.433
   185.000    94.706     1.259
text_03.dat                                                                     
poles     1  1  1
       phi     theta      int
  -185.000     0.810     0.084
  -175.000     0.810     0.084
  -165.000     0.810     0.084
  -155.000     0.810     0.084
  -145.000     0.810     0.084
  -135.000     0.810     0.084
  -125.000     0.810     0.084
  -115.000     0.810     0.084
  -105.000     0.810     0.084
   -95.000     0.810     0.084
   -85.000     0.810     0.084
   -75.000     0.810     0.084
   -65.000     0.810     0.084
   -55.000     0.810     0.084
   -45.000     0.810     0.084
   -35.000     0.810     0.084
   -25.000     0.810     0.084
   -15.000     0.810     0.084
    -5.000     0.810     0.084
     5.000     0.810     0.084
    15.000     0.810     0.084
    25.000     0.810     0.084
    35.000     0.810     0.084
    45.000     0.810     0.084
    55.000     0.810     0.084
    65.000     0.810     0.084
    75.000     0.810     0.084
    85.000     0.810     0.084
    95.000     0.810     0.084
   105.000     0.810     0.084
   115.000     0.810     0.084
   125.000     0.810     0.084
   135.000     0.810     0.084
   145.000     0.810     0.084
   155.000     0.810     0.084
   165.000     0.810     0.084
   175.000     0.810     0.084
   185.000     0.810     0.084
  -185.000    10.798     0.277
  -175.000    10.798     0.213
  -165.000    10.798     0.217
  -155.000    10.798     0.251
  -145.000    10.798     0.345
  -135.000    10.798     0.445
  -125.000    10.798     0.521
  -115.000    10.798     0.620
  -105.000    10.798     0.656
   -95.000    10.798     0.660
   -85.000    10.798     0.737
   -75.000    10.798     0.804
   -65.000    10.798     0.741
   -55.000    10.798     0.566
   -45.000    10.798     0.464
   -35.000    10.798     0.370
   -25.000    10.798     0.313
   -15.000    10.798     0.314
    -5.000    10.798     0.279
     5.000    10.798     0.257
    15.000    10.798     0.253
    25.000    10.798     0.266
    35.000    10.798     0.328
    45.000    10.798     0.445
    55.000    10.798     0.559
    65.000    10.798     0.781
    75.000    10.798     0.910
    85.000    10.798     1.005
    95.000    10.798     1.039
   105.000    10.798     0.958
   115.000    10.798     0.764
   125.000    10.798     0.594
   135.000    10.798     0.504
   145.000    10.798     0.405
   155.000    10.798     0.385
   165.000    10.798     0.398
   175.000    10.798     0.277
   185.000    10.798     0.213
  -185.000    19.719     0.222
  -175.000    19.719     0.168
  -165.000    19.719     0.201
  -155.000    19.719     0.323
  -145.000    19.719     0.554
  -135.000    19.719     0.742
  -125.000    19.719     0.896
  -115.000    19.719     1.334
  -105.000    19.719     1.882
   -95.000    19.719     2.162
   -85.000    19.719     1.990
   -75.000    19.719     1.587
   -65.000    19.719     1.123
   -55.000    19.719     0.863
   -45.000    19.719     0.712
   -35.000    19.719     0.506
   -25.000    19.719     0.355
   -15.000    19.719     0.256
    -5.000    19.719     0.176
     5.000    19.719     0.170
    15.000    19.719     0.216
    25.000    19.719     0.304
    35.000    19.719     0.549
    45.000    19.719     0.942
    55.000    19.719     1.418
    65.000    19.719     2.168
    75.000    19.719     3.280
    85.000    19.719     3.916
    95.000    19.719     3.859
   105.000    19.719     3.084
   115.000    19.719     1.883
   125.000    19.719     1.171
   135.000    19.719     0.835
   145.000    19.719     0.555
   155.000    19.719     0.355
   165.000    19.719     0.319
   175.000    19.719     0.222
   185.000    19.719     0.168
  -185.000    28.966     0.084
  -175.000    28.966     0.086
  -165.000    28.966     0.102
  -155.000    28.966     0.173
  -145.000    28.966     0.354
  -135.000    28.966     0.765
  -125.000    28.966     1.516
  -115.000    28.966     2.468
  -105.000    28.966     3.322
   -95.000    28.966     3.619
   -85.000    28.966     3.022
   -75.000    28.966     2.362
   -65.000    28.966     1.602
   -55.000    28.966     0.980
   -45.000    28.966     0.529
   -35.000    28.966     0.259
   -25.000    28.966     0.163
   -15.000    28.966     0.124
    -5.000    28.966     0.094
     5.000    28.966     0.093
    15.000    28.966     0.134
    25.000    28.966     0.230
    35.000    28.966     0.536
    45.000    28.966     1.194
    55.000    28.966     2.046
    65.000    28.966     2.609
    75.000    28.966     3.267
    85.000    28.966     3.737
